TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Coordinates,TransactionDay,Hour,DayOfWeek,Weekend,Month,TimeSinceLastTx,AccountTxCount,AccountAvgAmount,AccountStdAmount,TxToAccountAvgRatio,Amount_to_AvgByType_Ratio,DeviceTxCount,AccountAvgTimeBetweenTx,TimeSinceLastTxRatio,AccountTxVelocity,PrevLocation,PrevLocationCoordinates,DistanceFromLastTx,Velocity,UnrealisticVelocity,AccountDeviceCount,DeviceRarity,AccountModalHour,HourDeviation,Anomaly
TX001313,AC00001,47.79,2023-09-15 17:00:20,Debit,Denver,D000649,59.12.96.11,M034,Branch,25,Student,37,1,1649.92,,"(39.7392364, -104.984862)",2023-09-15,17,4,0,9,936.2158333333333,2,130.38,116.79989811639392,0.36654394845835253,0.16200480240224738,8,-9255.214305555555,1.077791688688162,0.03333478658598928,,,0.0,0.0,0,2,0.125,17,0,0
TX002017,AC00001,212.97,2023-11-14 16:56:34,Debit,Atlanta,D000492,45.241.13.208,M003,Online,59,Engineer,178,1,4180.4,2023-09-15 17:00:20,"(33.7544657, -84.3898151)",2023-11-14,16,1,0,11,1439.9372222222223,2,130.38,116.79989811639392,1.6334560515416476,0.7219536046789418,1,-9255.214305555555,0.9222083113118381,0.03333478658598928,Denver,"(39.7392364, -104.984862)",1950.0254650387035,1.354242449394305,0,2,1.0,17,1,0
TX002121,AC00002,476.99,2023-01-10 16:00:32,Debit,San Diego,D000594,113.137.153.101,M022,Online,23,Student,187,1,1154.48,,"(32.7174202, -117.162772)",2023-01-10,16,1,0,1,936.2158333333333,7,293.7442857142857,195.69509079663897,1.6238273328113375,1.6169631868141447,4,-12245.239325396824,1.3007635157052664,0.020287392653427935,,,0.0,0.0,0,7,0.25,16,0,0
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2023-01-10 16:00:32,"(34.0536909, -118.242766)",2023-02-28,16,1,0,2,1176.6072222222222,7,293.7442857142857,195.69509079663897,0.2019443539327209,0.20109070681107585,1,-12245.239325396824,1.2046755611350626,0.020287392653427935,San Diego,"(32.7174202, -117.162772)",179.05896835348904,0.15218231946000352,0,7,1.0,16,0,0
TX001477,AC00002,12.62,2023-05-05 16:35:44,Debit,El Paso,D000475,93.160.83.196,M068,Branch,33,Doctor,61,1,6420.47,2023-02-28 16:36:58,"(31.7601164, -106.4870404)",2023-05-05,16,4,0,5,1583.9794444444444,7,293.7442857142857,195.69509079663897,0.04296253787307717,0.04278092919682699,2,-12245.239325396824,1.0753203696450468,0.020287392653427935,Los Angeles,"(34.0536909, -118.242766)",1128.077388304789,0.7121788607058492,0,7,0.5,16,0,0
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02,2023-05-05 16:35:44,"(32.7762719, -96.7968559)",2023-05-16,16,1,0,5,263.52944444444444,7,293.7442857142857,195.69509079663897,0.8987068441452966,0.8949078842052581,4,-12245.239325396824,1.053802120461904,0.020287392653427935,El Paso,"(31.7601164, -106.4870404)",919.5736881599341,3.4894400534955725,0,7,0.25,16,0,0
TX001599,AC00002,395.16,2023-07-24 16:14:05,Debit,Milwaukee,D000269,165.38.56.205,M059,Online,56,Retired,17,1,5340.73,2023-05-16 16:07:30,"(43.0386475, -87.9090751)",2023-07-24,16,0,0,7,1656.1097222222222,7,293.7442857142857,195.69509079663897,1.3452517009449425,1.3395651332344023,6,-12245.239325396824,0.918557202426362,0.020287392653427935,Dallas,"(32.7762719, -96.7968559)",1379.615125757741,0.8330452229102951,0,7,0.16666666666666666,16,0,0
TX001674,AC00002,331.66,2023-09-11 17:52:59,Debit,Las Vegas,D000041,1.198.76.182,M040,ATM,76,Retired,145,1,7216.3,2023-07-24 16:14:05,"(36.171697, -115.1463536)",2023-09-11,17,0,0,9,1177.6483333333333,7,293.7442857142857,195.69509079663897,1.1290772829623434,1.1243045148510018,4,-12245.239325396824,0.8223813678986895,0.020287392653427935,Milwaukee,"(43.0386475, -87.9090751)",2447.6387685585514,2.0784105244899314,0,7,0.25,16,1,0
TX001029,AC00002,516.47,2023-12-21 17:00:50,Credit,Charlotte,D000420,59.132.247.252,M026,ATM,25,Student,94,1,1305.06,2023-09-11 17:52:59,"(35.2272086, -80.8430827)",2023-12-21,17,3,0,12,2423.130833333333,7,293.7442857142857,195.69509079663897,1.7582299473302827,1.6850515791684848,4,-12245.239325396824,0.6244998627276696,0.020287392653427935,Las Vegas,"(36.171697, -115.1463536)",3090.143554317025,1.2752684405396673,0,7,0.25,16,1,0
TX002326,AC00003,20.17,2023-01-02 16:45:05,Debit,San Antonio,D000287,221.23.158.87,M088,ATM,77,Retired,86,1,3869.37,,"(29.4246002, -98.4951405)",2023-01-02,16,0,0,1,936.2158333333333,5,253.26800000000003,158.48475327298834,0.07963895952113965,0.06837490823296359,6,-13833.894666666665,1.1652100269794676,0.01830885978439453,,,0.0,0.0,0,5,0.16666666666666666,16,0,0
